town,website,first_name,practises,name,phone2,recommendation_number,phone1,recommendation_percentage,county,url,year_established,stars,postal_code,people1,people2,people3,number_of_stars,size
,,,,"Kiley, Feldmann, Whalen, Devine & Patane, P.C.",,,,,,https://www.martindale.com/canastota/new-york/kiley-feldmann-whalen-devine-and-patane-p-c-409806-f/,,4.0,,,,,[1],
,,,Consumer Financial Services,"Hudson Cook, LLP",,,,,,https://www.martindale.com/clifton-park/new-york/hudson-cook-llp-2100066-f/,,5.0,,,,,[1],
,,,"Recent Filings,Current Cases,Successes,Professionals,News,Events & Publications,Contact,Civil Rights & Employment,Consumer Protection and Unsafe Products,Employee Benefits,Ethics and Fiduciary Counseling,Human Rights,Public Client,Securities Fraud,Small Business Practice,Whistleblower / False Claims Act",Cohen Milstein,,,,,,https://www.martindale.com/new-york/new-york/cohen-milstein-2187650-f/,,4.9,,,,,[24],
,,,"Personal Injury,Premises Liability,Automobile Accidents,Civil Litigation,Civil Rights Violations,Criminal Defense","Law Offices of Pamela S. Roth, Esq., P.C.",,,,,,https://www.martindale.com/new-york/new-york/law-offices-of-newline-pamela-s-roth-esq--p-c-2049482-f/,,,,,,,,
,,,"Land Use,Real Estate,Planning Law,Zoning Law,Environmental Law,Tax Certiorari,Commercial Law,Construction Contracts,Civil Litigation,Trial Practice,Bankruptcy,Intellectual Property,Taxation,Corporate Law,Computer Law,Internet Law,Eminent Domain,Estate Planning,Municipal Bonds,Personal Injury,Negligence,Employment Law,Probate,Product Liability","Jacobowitz and Gubits, L.L.P.",,,,,,https://www.martindale.com/monticello/new-york/jacobowitz-and-gubits-l-l-p-2139076-f/,,4.2,,,,,[64],
,,,"Professional Liability Defense,Insurance,Director,Officer,Employment Practices Liability,Medical Malpractice,Healthcare Liability,Fiduciary Law,Agents,Brokers,Lawyers,Miscellaneous Professional Liability,General Liability,Insurance Coverage",Kaufman Borgeest & Ryan LLP,,,,,,https://www.martindale.com/garden-city/new-york/kaufman-borgeest-and-ryan-llp-2032425-f/,,4.6,,,,,[48],
,,,"Personal Injury,Medical Malpractice,Wrongful Death,Catastrophic Injury,Mass Torts,Toxic Torts,Defective Drugs,Defective Medical Devices,Birth Injuries,Construction Accidents,Nursing Home Neglect,Abuse,Automobile Accidents And Injuries,Motorcycle Accidents,Tractor Trailer Accidents,Suv Accidents,Rollovers,Bus,Train,Subway Accidents,Pedestrian Knockdown,Bicycle Knockdown,Hit,Run,Defective Airbags,Defective Products,Dog Bites,False Arrest,Sexual Abuse,Failure To Diagnose,Slip And Fall,Surgical Complications,Labor Law,Employment Discrimination,Municipal Liability,Brain Injury,Subrogation,Trusts And Estates,Wills,Probate,Estate Litigation,Family Law,Elder Law,Business Law,Real Estate,Commercial Litigation",Schwartzapfel Lawyers P.C.,,,,,,https://www.martindale.com/new-york/new-york/schwartzapfel-lawyers-p-c-2053918-f/,,5.0,,,,,[5],
,,,"Bankruptcy,Divorce,Family Law,Real Estate,Commercial Real Estate,Personal Bankruptcy,Corporate Bankruptcy,Matrimonial Law","The Law Offices of Bruce Feinstein, Esq., P.C.",,,,,,https://www.martindale.com/massapequa/new-york/the-law-offices-of-bruce-feinstein-esq-p-c-2107739-f/,,,,,,,,
,,,"Corporate Law,Securities,Intellectual Property,Technology Protection,Licensing,Commercialization,Federal Practice,State Taxation Related To Corporate,Partnership Issues,Employee Benefits,Executive Compensation","Gunderson Dettmer Stough Villeneuve Franklin & Hachigian, LLP",,,,,,https://www.martindale.com/new-york/new-york/gunderson-dettmer-stough-villeneuve-franklin-and-hachigian-llp-2037536-f/,,5.0,,,,,[4],
,,,"Collections,Criminal Law,Immigration Law,Personal Injury,Slip And Fall,Automobile Accidents,Driving While Intoxicated,Parole Revocation,Real Estate",Houslanger & Associates,,,,,,https://www.martindale.com/mount-kisco/new-york/houslanger-and-associates-2182617-f/,,4.4,,,,,[1],
